time,acc.x_y,acc.y_y,acc.z_y,gyro.x_y,gyro.y_y,gyro.z_y,,time,x acc,acc.z_y,gyro.z_y
4285351,-0.095407315,0.13537246,1.254967093,-2.554294109,12.06927109,-11.41090107,,4.285351,-95.4073146,1.254967093,-11.41090107
4285451,0.065865062,0.023540054,1.240648746,5.046143532,0.291236192,-12.35572433,,4.285451,65.86506218,1.240648746,-12.35572433
4285551,-0.002166975,0.040967897,1.316009521,1.828959584,4.710092545,-7.306973934,,4.285551,-2.166974591,1.316009521,-7.306973934
4285651,0.023987509,0.089360394,1.316306353,-2.177952528,9.228190422,2.55744338,,4.285651,23.98750931,1.316306353,2.55744338
4285751,0.03174739,-0.100528732,1.224255204,-5.731921196,11.45518112,6.250483513,,4.285751,31.74738958,1.224255204,6.250483513
4285851,-0.038842868,-0.089429654,0.881305516,0.292856753,40.41116333,11.26155281,,4.285851,-38.84286806,0.881305516,11.26155281
4285951,0.050804418,-0.002640667,0.776881099,21.60438156,82.09731293,4.841118813,,4.285951,50.80441758,0.776881099,4.841118813
4286051,0.009939249,0.046167087,0.733852387,16.24037552,42.67271042,2.582874537,,4.286051,9.939248674,0.733852387,2.582874537
4286151,0.049320884,0.003838802,0.681857526,-10.00080109,-82.38335419,0.200135604,,4.286151,49.32088405,0.681857526,0.200135604
4286251,0.033968054,0.045247059,0.87739706,-0.118359461,2.478043318,-3.190458536,,4.286251,33.96805376,0.87739706,-3.190458536
4286351,0.023702296,0.24403429,1.023423314,4.280745506,6.277897835,-0.804486752,,4.286351,23.7022955,1.023423314,-0.804486752
4286451,0.05883285,-0.075132728,0.927553177,4.531599998,1.405185223,-2.600651503,,4.286451,58.83285031,0.927553177,-2.600651503
4286551,0.003622727,0.097955145,1.35912776,-10.14842129,23.46871948,-3.530364037,,4.286551,3.622726537,1.35912776,-3.530364037
4286651,-0.034824867,0.1065244,1.42756784,2.146648407,-79.03901672,-2.884520769,,4.286651,-34.8248668,1.42756784,-2.884520769
4286751,-0.013343312,0.06362848,1.314558268,11.70971298,-25.49831581,-0.659553766,,4.286751,-13.34331185,1.314558268,-0.659553766
4286851,0.064065069,-0.001188701,1.151512384,-39.4355011,-21.38002777,3.295670748,,4.286851,64.06506896,1.151512384,3.295670748
4286951,0.035318341,-0.181706801,1.162802577,-64.49797058,-74.92533875,0.325060099,,4.286951,35.31834111,1.162802577,0.325060099
4287051,-0.114357315,0.252751619,0.999572218,-58.74005127,-46.77020264,-6.877680779,,4.287051,-114.357315,0.999572218,-6.877680779
4287151,-0.189608008,-0.019266089,0.843049645,60.62174988,19.56315231,-10.39544106,,4.287151,-189.6080077,0.843049645,-10.39544106
4287251,-0.015468252,0.006734647,0.764642716,-1.971289396,11.93981552,7.43614912,,4.287251,-15.46825189,0.764642716,7.43614912
4287351,-0.00311373,-0.010544058,0.711798906,40.23337936,79.08347321,9.7280159,,4.287351,-3.113730112,0.711798906,9.7280159
4287451,0.012062298,-0.029391039,0.579038918,8.309009552,-15.8829422,8.503463745,,4.287451,12.06229813,0.579038918,8.503463745
4287551,-0.0092189,0.004701462,0.610089123,10.51652431,25.5552845,7.133685589,,4.287551,-9.218899533,0.610089123,7.133685589
4287651,0.002730198,-0.036364958,0.544388831,5.5813241,0.100381181,3.429909468,,4.287651,2.730198205,0.544388831,3.429909468
4287751,0.036076702,-0.00887503,0.509146214,-1.070950389,0.878166318,3.452012539,,4.287751,36.07670218,0.509146214,3.452012539
4287851,-0.003861495,-0.007759242,0.280009657,6.818724632,14.26340675,2.400618315,,4.287851,-3.861494595,0.280009657,2.400618315
4287951,-0.004354311,0.018306084,0.236583829,67.31878662,100.4931107,0.784198403,,4.287951,-4.354311153,0.236583829,0.784198403
4288151,-0.016226653,0.0069094,0.219794408,178.2971497,110.0695801,2.203759432,,4.288151,-16.22665301,0.219794408,2.203759432
4288251,-0.026043031,-0.004358116,0.691151917,-202.7471161,-331.1077881,21.40640831,,4.288251,-26.04303136,0.691151917,21.40640831
4288351,0.110494301,0.158685267,1.211721778,-350.1235352,-235.1764679,67.42179108,,4.288351,110.4943007,1.211721778,67.42179108
4288451,-0.058764413,-0.548751533,1.780253172,45.37365723,1999.899414,946.4988403,,4.288451,-58.764413,1.780253172,946.4988403
4288551,0.426107079,-0.426451743,1.040598512,-1659.85022,-106.3848724,797.7548218,,4.288551,426.1070788,1.040598512,797.7548218
4288651,0.206131235,-0.244247556,0.064209066,1334.04248,1244.06897,-430.7614746,,4.288651,206.1312348,0.064209066,-430.7614746
4288751,0.112993062,-0.432244122,0.227515116,1779.824585,-21.13760567,-478.0180359,,4.288751,112.9930615,0.227515116,-478.0180359
4288851,-0.161648199,-0.306246191,0.178744182,1228.206543,-1220.239136,-448.9535522,,4.288851,-161.648199,0.178744182,-448.9535522
4288951,-0.103732675,-0.133974373,0.183513656,200.7653351,-1675.469727,-406.7256775,,4.288951,-103.7326753,0.183513656,-406.7256775
4289051,-0.201060519,-0.367934823,-2.245033264,-522.366272,-206.5394897,-320.5534363,,4.289051,-201.0605186,-2.245033264,-320.5534363
4289151,-0.035566516,-0.04569323,0.010414947,-545.1713257,69.76592255,-326.0647278,,4.289151,-35.56651622,0.010414947,-326.0647278
4289251,0.533834875,-0.737674594,-2.203787327,642.7852173,-385.0806885,0.137988314,,4.289251,533.8348746,-2.203787327,0.137988314
4289351,-0.409599841,-0.146172464,-1.652123928,-424.8049316,212.0357056,-86.48825073,,4.289351,-409.5998406,-1.652123928,-86.48825073
4289451,0.050580703,0.048824511,-0.980152011,91.63288116,17.47158241,-33.33283615,,4.289451,50.58070272,-0.980152011,-33.33283615
4289551,-0.007211408,-0.010313121,-1.010890722,0.086148746,0.154626668,0.130067915,,4.289551,-7.211407647,-1.010890722,0.130067915
4289651,-0.005461391,-0.008245806,-1.011925459,0.094467387,0.150174707,0.083745085,,4.289651,-5.461391062,-1.011925459,0.083745085
4289751,-0.006458083,-0.009472687,-1.011867166,0.067516789,0.23321636,-0.041058484,,4.289751,-6.458083168,-1.011867166,-0.041058484
4289851,-0.005726188,-0.008419318,-1.012629271,0.187026992,0.226061389,-0.056513123,,4.289851,-5.726188421,-1.012629271,-0.056513123
4289951,-0.006922673,-0.009473466,-1.010676265,0.075462222,0.175103784,-0.031651791,,4.289951,-6.922672503,-1.010676265,-0.031651791
4290051,-0.005797706,-0.008914485,-1.010446787,0.185639933,0.244620889,0.053140353,,4.290051,-5.797706079,-1.010446787,0.053140353
4290151,-0.006131911,-0.008228489,-1.010928631,0.177385181,0.17901957,0.083392806,,4.290151,-6.131911185,-1.010928631,0.083392806
4290251,-0.005616591,-0.009308456,-1.01209569,0.1812751,0.152108833,-0.097364061,,4.290251,-5.616590846,-1.01209569,-0.097364061
4290351,-0.005757369,-0.009936959,-1.013495207,0.191425055,0.126056701,-0.109839283,,4.290351,-5.757368635,-1.013495207,-0.109839283
4290451,-0.005963528,-0.00867574,-1.012282372,0.179388106,0.09654402,-0.022527847,,4.290451,-5.963527597,-1.012282372,-0.022527847
4290551,-0.004806158,-0.009315732,-1.013293862,0.112827644,0.188306272,-0.048172504,,4.290551,-4.806157667,-1.013293862,-0.048172504
4290651,-0.00780865,-0.008364193,-1.013696313,0.048572145,0.161749974,-0.109666944,,4.290651,-7.808649912,-1.013696313,-0.109666944
4290751,-0.00706612,-0.006398321,-1.012007356,0.146010116,0.294173449,-0.002000552,,4.290751,-7.066120394,-1.012007356,-0.002000552
4290851,-0.005182581,-0.008685629,-1.012598634,0.072003827,0.084957942,0.076099575,,4.290851,-5.182581022,-1.012598634,0.076099575
4290951,-0.004205442,-0.007877083,-1.011852503,0.186956644,0.063460685,0.004426358,,4.290951,-4.205442034,-1.011852503,0.004426358
4291051,-0.005671468,-0.009857883,-1.011493564,0.190056577,0.101249129,-0.054313257,,4.291051,-5.671468098,-1.011493564,-0.054313257
4291151,-0.005410439,-0.007764588,-1.011004686,0.191032827,0.140235856,0.029413398,,4.291151,-5.410439335,-1.011004686,0.029413398
4291251,-0.006981768,-0.007316365,-1.010578275,0.17646502,0.013582079,0.100231253,,4.291251,-6.98176818,-1.010578275,0.100231253
4291351,-0.006291538,-0.010143246,-1.012993455,0.080499969,0.103220694,-0.03205201,,4.291351,-6.291538011,-1.012993455,-0.03205201
4291451,-0.005505199,-0.008922906,-1.011429191,0.179087207,0.207746714,0.102997042,,4.291451,-5.505199078,-1.011429191,0.102997042
