"acc.x_x","acc.x_y","acc.y_x","acc.y_y","acc.z_x","acc.z_y","gyro.x_x","gyro.x_y","gyro.y_x","gyro.y_y","gyro.z_x","gyro.z_y"
236755,-0.02102567628,236755,0.01380010229,236755,0.9908471704,236755,0.03774797171,236755,0.03762730211,236755,0.2455826253,
236855,-0.01925129257,236855,0.01338888519,236855,0.9922458529,236855,0.1311264336,236855,-0.07450394332,236855,-0.02679069154,
236955,-0.01919821277,236955,0.01446020603,236955,0.9929713607,236955,0.05085117742,236955,-0.03604293987,236955,0.1295812279,
237055,-0.02005054243,237055,0.01359901112,237055,0.9923970699,237055,0.09883833677,237055,-0.1233790591,237055,0.1421029121,
237155,-0.01908241585,237155,0.01380294003,237155,0.9912295938,237155,0.1276772916,237155,0.106084317,237155,0.08424896747,
237255,-0.0189360287,237255,0.01373154856,237255,0.9964637756,237255,-0.01436300948,237255,-0.05990753323,237255,0.1023204327,
237355,-0.01956841163,237355,0.01280553918,237355,0.9893565774,237355,0.0853344053,237355,-0.03957426548,237355,0.1484359056,
237455,-0.02003267407,237455,0.0117998533,237455,0.9921084642,237455,0.06310435385,237455,-0.04782117903,237455,0.1667021662,
237555,-0.01803915203,237555,0.01299350616,237555,0.9945535064,237555,0.1019829959,237555,-0.03874365613,237555,0.1504097432,
237655,-0.01944506913,237655,0.01348222978,237655,0.9915954471,237655,0.09492155164,237655,-0.1460040808,237655,0.1407782435,
237755,-0.0191280283,237755,0.01356475428,237755,0.9883996248,237755,0.269669205,237755,-0.036114797,237755,0.1898044199,
237855,-0.01961167157,237855,0.0136263743,237855,0.9998339415,237855,0.1306858808,237855,-0.1664083302,237855,0.1482747346,
237955,-0.01953330822,237955,0.01349937078,237955,0.9931573272,237955,0.05787816644,237955,-0.1352204382,237955,0.1330396384,
238055,-0.01951607689,238055,0.01309101749,238055,0.9937411547,238055,0.08372354507,238055,-0.01223685872,238055,0.1872917712,
